  (1 4 | 4 1) -> (5|11) -> (26) =   0.18051839210463
  (1 4 | 1 4) -> (5|5) -> (20) =   0.18051839210463
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (2 2 | 2 2) -> (5|5) -> (20) =   0.88015909337505
  (3 2 | 3 2) -> (8|8) -> (44) =   0.04744444511838
  (2 3 | 3 2) -> (6|8) -> (29) =   0.04744444511838
  (3 2 | 2 3) -> (8|6) -> (42) =   0.04744444511838
  (2 3 | 2 3) -> (6|6) -> (27) =   0.04744444511838
  (3 2 | 3 2) -> (8|8) -> (44) =   0.04744444511838
  (3 2 | 2 3) -> (8|6) -> (42) =   0.04744444511838
  (2 3 | 3 2) -> (6|8) -> (29) =   0.04744444511838
  (2 3 | 2 3) -> (6|6) -> (27) =   0.04744444511838
  (3 3 | 2 2) -> (9|5) -> (50) =   0.78527020313828
  (3 3 | 2 2) -> (9|5) -> (50) =   0.78527020313828
  (3 3 | 2 2) -> (9|5) -> (50) =   0.78527020313828
  (3 3 | 2 2) -> (9|5) -> (50) =   0.78527020313828
  (2 2 | 3 3) -> (5|9) -> (24) =   0.78527020313828
  (2 2 | 3 3) -> (5|9) -> (24) =   0.78527020313828
  (2 2 | 3 3) -> (5|9) -> (24) =   0.78527020313828
  (2 2 | 3 3) -> (5|9) -> (24) =   0.78527020313828
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (3 3 | 3 3) -> (9|9) -> (54) =   0.88015909337505
  (4 2 | 4 2) -> (12|12) -> (90) =   0.04744444511838
  (2 4 | 4 2) -> (7|12) -> (40) =   0.04744444511838
  (4 2 | 2 4) -> (12|7) -> (85) =   0.04744444511838
  (2 4 | 2 4) -> (7|7) -> (35) =   0.04744444511838
  (4 2 | 4 2) -> (12|12) -> (90) =   0.04744444511838
  (4 2 | 2 4) -> (12|7) -> (85) =   0.04744444511838
  (2 4 | 4 2) -> (7|12) -> (40) =   0.04744444511838
  (2 4 | 2 4) -> (7|7) -> (35) =   0.04744444511838
  (4 3 | 4 3) -> (13|13) -> (104) =   0.04744444511838
  (3 4 | 4 3) -> (10|13) -> (68) =   0.04744444511838
  (4 3 | 3 4) -> (13|10) -> (101) =   0.04744444511838
  (3 4 | 3 4) -> (10|10) -> (65) =   0.04744444511838
  (4 3 | 4 3) -> (13|13) -> (104) =   0.04744444511838
  (4 3 | 3 4) -> (13|10) -> (101) =   0.04744444511838
  (3 4 | 4 3) -> (10|13) -> (68) =   0.04744444511838
  (3 4 | 3 4) -> (10|10) -> (65) =   0.04744444511838
  (4 4 | 2 2) -> (14|5) -> (110) =   0.78527020313828
  (4 4 | 2 2) -> (14|5) -> (110) =   0.78527020313828
  (4 4 | 2 2) -> (14|5) -> (110) =   0.78527020313828
  (4 4 | 2 2) -> (14|5) -> (110) =   0.78527020313828
